query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes
Asplenium lyallii T.Moore,Asplenium kraussii T. Moore,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium neolaserpitiifolium Tardieu & Ching,Asplenium neolaserpitifolium Tardieu & Ching,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium alienum Mett.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium salignum Mett.,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium cristatum Mett.,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium dubium Mett.,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium donianum Mett.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium vastum Mett.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium niponicum Mett.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium nervosum Mett.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium striatum Mett.,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium obtusum Mett.,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium nitidum Mett.,Asplenium rigidum Sw.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium oblongifolium Col.,Asplenium longifolium D. Don,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium oldhami Hance,Asplenium oldhamii Hance,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium pseudoerectum Hieron.,Asplenium pseuderectum Hieron.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium richardii Hook.f.,Asplenium wardii Hook.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium scleropium Homb. & Jacq.,Asplenium scleroprium Hombr. & Jacq.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium shikokianum Makino,Asplenium miyoshianum Makino,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Asplenium trichomanes subsp. inexpectans Lovis,Asplenium trichomanes subsp. inexpectatum Lovis,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Athyrium bourgaei E. Fourn.,Athyrium bourgeaui E. Fourn.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Athyrium myriomerum Christ,Athyrium myriopterum Christ,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Blechnum chambersii Tindale,Blechnum camfieldii Tindale,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Cephalomanes javanicum (Blume) Bosch,Cephalomanes javanica (Blume) Bosch,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Ceratopteris pteridoides (Hook.) Hieron.,Ceratopteris pteridioides (Hook.) Hieron.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Cornopteris banahaoensis (C.Chr.) K.Iwats. & M.G.Price,Cornopteris banajaoensis (C. Chr.) K. Iwats. & M. G. Price,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Crepidomanes schmidtianum var. latifrons (Bosch) K.Iwats.,Crepidomanes schmidianum var. latifrons (Bosch) K. Iwats.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Cyathea smithii Hook.f.,Cyathea kirkii Hook.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Cyclophorus taiwanensis (Christ) C.Chr.,Cyclophorus annamensis (Christ) C. Chr.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Cyclophorus taiwanensis (Christ) C.Chr.,Cyclophorus taiwanense (Christ) C. Chr.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Cyclosorus marquesicus (Holttum) Lorence & A.R.Sm.,Cyclosorus marquesicum (Holttum) Lorence & A. R. Sm.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Cyrtomium omeiense Ching & K.H.Shing,Cyrtomium kansuense Ching & K. H. Shing,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Cyrtomium omeiense Ching & K.H.Shing,Cyrtomium hunanense Ching & K. H. Shing,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Cyrtomium omeiense Ching & K.H.Shing,Cyrtomium mediocre Ching & K. H. Shing,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Cyrtomium omeiense Ching & K.H.Shing,Cyrtomium moupingense Ching & K. H. Shing,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Davallia tasmani Field,Davallia tasmanica Gand.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Davallodes gymnocarpa Copel.,Davallodes gymnocarpum Copel.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Davallodes hirsuta (J.Sm.) Copel.,Davallodes hirsutum (J. Sm.) Copel.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Deparia polyrhizon (Baker) Sledge,Deparia polyrhiza (Baker) Sledge,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dicksonia berteroana (Colla) Hook.,Dicksonia berteriana (Colla) Hook.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dicksonia fibrosia Col.,Dicksonia fibrosa Colenso,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dicksonia lanata Col.,Dicksonia glabrata Ces.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dicksonia perriei Noben & Lehnert,Dicksonia perrieri Noben & Lehnert,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Didymoglossum krausii (Hook. & Grev.) C.Presl,Didymoglossum kraussii (Hook. & Grev.) C. Presl,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Diplazium fauriei H.Christ,Diplazium acrotis Christ,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Diplazium fauriei H.Christ,Diplazium aridum Christ,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Diplazium okudairai Makino,Diplazium okudairae Makino,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Diplazium petrii Tardieu,Diplazium petelotii Tardieu,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Diplazium takii Sa.Kurata,Diplazium kidoi Kurata,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Diplazium x okudairaeoides Sa.Kurata,Diplazium ×  okudairaioides Kurata,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Doodia lyoni O.Deg.,Doodia lyonii O. Deg.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris amurensis H.Christ,Dryopteris limonensis Christ,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
