query,matched_name,matched_status,query_match_taxon_agree,dist,use_query_as_synonym,use_query_as_accepted,use_query_as_new,taxonomicStatus,namePublishedIn,nameAccordingTo,taxonRemarks,notes
"Anisocampium niponicum (Mett.) Y.C.Liu, W.L.Chiou & M.Kato","Anisocampium niponicum (Mett.) Yea C. Liu, W. L. Chiou & M. Kato",accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Arachniodes yasu-inouei Sa.Kurata,Arachniodes yasu-inouei Kurata,synonym,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Ascogrammitis clavigera A.R.Sm. & Sundue,Ascogrammitis clavigera A. R. Sm. ex Sundue,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium antrophyoides H.Christ,Asplenium antrophyoides Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium celtibericum Rivas Mart.,Asplenium ×  celtibericum Rivas Mart.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium cuneatiforme H.Christ,Asplenium cuneatiforme Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium cymbifolium H.Christ,Asplenium cymbifolium Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium heteroresiliens W.H.Wagner,Asplenium ×  heteroresiliens W. H. Wagner,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium interjectum H.Christ,Asplenium interjectum Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium komarovii Akas.,Asplenium komarovii Akasawa,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium milnei Carriere,Asplenium milnei Carruth.,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium minutifolium Kanemitsu & Tagane,Asplenium minutifolium Kanem. & Tagane,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
"Asplenium pifongiae L.-Y. Kuo, F.W.Li & Y.H.Chang","Asplenium pifongiae L. Y. Kuo, Fay W. Li & Y. H. Chang",accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium pulcherrimum (Baker) Ching ex Tardieu,Asplenium pulcherrimum (Baker) Ching apud Tardieu,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium quaylei E.Brown,Asplenium quaylei E. D. Br.,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium ruprechtii Sa.Kurata,Asplenium ruprechtii Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium scandens Houlston & T.Moore,Asplenium scandens Houlston & Moore,ambiguous synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium scolopendropsis J.Sm.,Asplenium scolopendropsis F. Muell.,synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium seelosii Leybold,Asplenium seelosii Leyb.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium simii A.F.Braithw. & Schelpe,Asplenium simii Braithw. & Schelpe,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
"Asplenium subglandulosum subsp. hispanicum (Coss.) Salvo, Prada & Diaz","Asplenium subglandulosum subsp. hispanicum (Coss.) Salvo, Prada & T. E. Díaz",synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium wrightii D.C.Eaton ex Hook.,Asplenium wrightii Eaton ex Hook.,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Asplenium wrightioides H.Christ,Asplenium wrightioides Christ,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Astrolepis deltoidea (Baker) J.Beck & Windham,Astrolepis deltoidea (Baker) J. B. Beck & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium alpestre (Hoppe) Clairv.,Athyrium alpestre (Hoppe) Rylands,synonym,TRUE,6,0,1,0,accepted,Manuel d'Herborisation en Suisse et en Valais xx. 1811,NCBI,author variant; Athyrium alpestre (Hoppe) Clairv. is accepted name according to Tropicos,NA
Athyrium alpestre (Hoppe) Clairv.,Athyrium alpestre (Hoppe) Moore,synonym,TRUE,6,0,1,0,accepted,Manuel d'Herborisation en Suisse et en Valais xx. 1811,NCBI,author variant; Athyrium alpestre (Hoppe) Clairv. is accepted name according to Tropicos,NA
Athyrium asplenioides (Michx.) Eaton,Athyrium asplenioides (Michx.) Desv.,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium biserrulatum H.Christ,Athyrium biserrulatum Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium kenzo-satakei Sa. Kurata,Athyrium kenzo-satakei Kurata,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium newtonii Baker,Athyrium newtonii (Baker) Diels,accepted,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium nigripes (Blume) T.Moore,Athyrium nigripes (Blume) Moore,ambiguous synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium oblitescens Sa.Kurata,Athyrium oblitescens Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium pectinatum (Wall. ex Mett.) T.Moore,Athyrium pectinatum (Wall. ex Mett.) Bedd.,ambiguous synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium puncticaule (Blume) T.Moore,Athyrium puncticaule (Blume) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium setuligerum Sa.Kurata,Athyrium setuligerum Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium solenopteris (Kunze) T.Moore,Athyrium solenopteris (Kunze) Bedd.,synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium spinescens Sa.Kurata,Athyrium spinescens Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Athyrium viridescentipes Sa.Kurata,Athyrium viridescentipes Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Blechnidium melanopus (Hook.) T.Moore,Blechnidium melanopus (Hook.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Blechnum vieillardii var. simplex Fourn.,Blechnum vieillardii var. simplex E. Fourn.,synonym,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Bolbitis angustipinna (Hayata) H.Ito,Bolbitis angustipinna (Hayata) Itô,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium acuminatum W.H.Wagner,Botrychium acuminatum Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium ascendens W.H.Wagner,Botrychium ascendens Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium boreale J.Milde,Botrychium boreale (Fr.) Milde,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium campestre W.H.Wagner & Farrar,Botrychium campestre Wagner & Farrar,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium crenulatum W.H.Wagner,Botrychium crenulatum Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium echo W.H.Wagner,Botrychium echo Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium hesperium (Maxon & R.T.Clausen) W.H.Wagner & Lellinger,Botrychium hesperium (Maxon & Clausen) Wagner & Lellinger,accepted,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium lanceolatum (S.G.Gmel.) Angstrom,Botrychium lanceolatum (S. G. Gmel.) Ångstr.,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium lanceolatum subsp. angustisegmentum (Pease & A.H.Moore) R.T.Clausen,Botrychium lanceolatum subsp. angustisegmentum (Pease & Moore) Clausen,accepted,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium montanum W.H.Wagner,Botrychium montanum Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium mormo W.H.Wagner,Botrychium mormo Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium pallidum W.H.Wagner,Botrychium pallidum Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium paradoxum W.H.Wagner,Botrychium paradoxum Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium pedunculosum W.H.Wagner,Botrychium pedunculosum Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium pseudopinnatum W.H.Wagner,Botrychium pseudopinnatum Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium spathulatum W.H.Wagner,Botrychium spathulatum Wagner,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Botrychium watertonense W.H.Wagner,Botrychium ×  watertonense W. H. Wagner,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Cheilanthes aurantiaca (Cav.) T.Moore,Cheilanthes aurantiaca (Cav.) Moore,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Cheilanthes nudiuscula (R.Br.) T.Moore,Cheilanthes nudiuscula (R. Br.) Moore,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Cheilanthes peruviana (Desv.) T.Moore,Cheilanthes peruviana (Desv.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Cheilanthes skinneri (Hook.) T.Moore,Cheilanthes skinneri (Hook.) Moore,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Cheilanthes squamosa Gillies & Hook. ex Grev.,Cheilanthes squamosa Gill. ex Hook. & Grev.,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Christella conspersa (Schrad.) A.Love & D.Love,Christella conspersa (Schrad.) Á. & D. Löve,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Christella latipinna (Benth.) H.Lev.,Christella latipinna (Benth.) Lév.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Christella papilio (C.Hope) K.Iwats.,Christella papilio (C. Hope) Holttum,accepted,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Cionidium moorei T.Moore,Cionidium moorei (Hook.) Moore,synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Crepidomanes walleri (Watts) Tindale,Crepidomanes walleri (Watts) Tind.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Cryptogramma sitchensis (Rupr.) T.Moore,Cryptogramma sitchensis (Rupr.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Ctenitis crinita (Poir.) Tardieu,Ctenitis crinita (Poir.) Ching,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Cyathea cunninghamii Hook.f.,Cyathea cunninghamii Hook. fil.,synonym,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Cyathea mexicana Schlecht. & Cham.,Cyathea mexicana Schltdl. & Cham.,synonym,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Cyathea phalaenolepis (C.Chr.) Domin,Cyathea phalaenolepis (C. Chr.) Domin Domin,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Cyathea planadae N.C.Arens & A.R.Sm.,Cyathea planadae Arens & A. R. Sm.,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Cyathea tenera (Hook.) T.Moore,Cyathea tenera (J. Sm.) Moore,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Cyclodium heterodon (Schrad.) T.Moore,Cyclodium heterodon (Schrad.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Davallia beddomei C.Hope,Davallia beddomei Hope,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Davallia corniculata T.Moore,Davallia corniculata Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Davallia epiphylla (G.Forst.) Sw.,Davallia epiphylla (G. Forst.) Spreng.,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Davallia mariesii T.Moore ex Baker,Davallia mariesii Moore ex Baker,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Dennstaedtia auriculata Navarrete & B.Øllg.,Dennstaedtia auriculata Navarr. & B. Øllg.,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Dennstaedtia davallioides T.Moore,Dennstaedtia davallioides (R. Br.) Moore,accepted,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Dennstaedtia dissecta (Sw.) T.Moore,Dennstaedtia dissecta (Sw.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Dennstaedtia punctilobula (Michx.) T.Moore,Dennstaedtia punctilobula (Michx.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Dennstaedtia samoensis (Brack.) T.Moore,Dennstaedtia samoensis (Brack.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Dennstaedtia scabra (Wall. ex Hook.) T.Moore,Dennstaedtia scabra (Wall. ex Hook.) Moore,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Dennstaedtia scandens (Blume) T.Moore,Dennstaedtia scandens (Blume) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Dennstaedtia werckleana (Christ) Navarrete & B.Øllg.,Dennstaedtia werckleana (Christ) Navarr. & B. Øllg.,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Deparia florensiae Rakotondr. & Jouy,Deparia florensiae Rakotondr.,synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Deparia nakaikeana Fraser-Jenk.,Deparia ×  nakaikeana Fraser-Jenk.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Dicksonia karsteniana (Klotzsch) T.Moore,Dicksonia karsteniana (Klotzsch) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Diplazium australe (R.Br.) N.A.Wakef.,Diplazium australe (R. Br.) Wakef.,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Diplazium griffithii T.Moore,Diplazium griffithii (T. Moore) Diels,accepted,TRUE,9,1,0,0,NA,NA,NCBI,author variant,NA
Diplazium harpeodes T.Moore,Diplazium harpeodes Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Diplazium lobbianum (Hook.) T.Moore,Diplazium lobbianum Moore,accepted,TRUE,10,1,0,0,NA,NA,NCBI,author variant,NA
Diplazium pallidum (Blume) T.Moore,Diplazium pallidum (Blume) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Diplazium proliferum,Diplazium proliferum Brack.,ambiguous synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Diplazium sanderi (C.Chr.) L.Pacheco,Diplazium sanderi (C. Chr.) Pacheco,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Diplazium squamigerum (Mett.) C.Hope,Diplazium squamigerum (Mett.) Christ,synonym,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Dipteris lobbiana (Hook.) T.Moore,Dipteris lobbiana (Hook.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Doryopteris nobilis (T.Moore) C.Chr.,Doryopteris nobilis (Moore) J. Sm.,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris basisora,Dryopteris basisora Copel.,ambiguous synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris championii (Benth.) C.Chr. ex Ching,Dryopteris championii (Benth.) C. Chr. apud Ching,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris fatuhivensis E.Brown,Dryopteris fatuhivensis E. D. Br.,synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
"Dryopteris glabra var. hobdyana (W.H.Wagner) D.D.Palmer, ined.",Dryopteris glabra var. hobdyana (W. H. Wagner) D. D. Palmer,accepted,TRUE,11,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris hadanoi Sa.Kurata,Dryopteris hadanoi Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris holttumii Li Bing Zhang,Dryopteris ×  holttumii Li Bing Zhang,synonym,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris juxtaposita H.Christ,Dryopteris juxtaposita Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris kinokuniensis Sa.Kurata,Dryopteris kinokuniensis Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris lachoongensis (Bedd.) B.K.Nayar & S.Kaur,Dryopteris lachoongensis (Bedd.) B. K. Nayar & Kaur,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris marginalis (L.) A.Gray,Dryopteris marginalis (L.) Gray,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris namegatae (Sa.Kurata) Sa.Kurata,Dryopteris namegatae (Kurata) Kurata,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris paleolata (Pic. Serm.) L.B.Zhang,Dryopteris paleolata (Pic. Serm.) Li Bing Zhang,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris panda (C.B.Clarke) H.Christ,Dryopteris panda (C. B. Clarke) C. Chr.,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris redactopinnata S.K.Basu & Panigrahi,Dryopteris redactopinnata Basu & Panigrahi,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris ryo-itoana Sa.Kurata,Dryopteris ryo-itoana Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris shibipedis Sa.Kurata,Dryopteris shibipedis Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris shiroumensis Sa.Kurata & T.Nakam.,Dryopteris shiroumensis Kurata & Nakam.,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris simasakii (H.Ito) Sa.Kurata,Dryopteris simasakii (H. Itô) Kurata,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
"Dryopteris sororia (Maxon) M.McHenry, Sundue & Barrington","Dryopteris sororia (Maxon) M. A. Mc Henry, Sundue & Barrington",accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris subreflexipinna M.Ogata,Dryopteris subreflexipinna Ogata,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris tsugiwoi Sa.Kurata,Dryopteris tsugiwoi Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
"Dryopteris wattsii M. McKeown, Sundue & Barrington","Dryopteris wattsii Mc Keown, Sundue & Barrington",accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Dryopteris yakusilvicola Sa.Kurata,Dryopteris yakusilvicola Kurata,synonym,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum albescens (Sodiro) H.Christ,Elaphoglossum albescens (Sodiro) Christ,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum alismifolium T.Moore,Elaphoglossum alismifolium (Fée) Moore,synonym,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum alpestre (Gardner) T.Moore,Elaphoglossum alpestre (Gardner) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum amygdalifolium (Mett. ex Kuhn) H.Christ,Elaphoglossum amygdalifolium (Mett. ex Kuhn) Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum angulatum (Blume) T.Moore,Elaphoglossum angulatum (Blume) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum aubertii (Desv.) T.Moore,Elaphoglossum aubertii (Desv.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum bellermannianum (Klotzsch) T.Moore,Elaphoglossum bellermannianum (Klotzsch) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum callifolium (Blume) T.Moore,Elaphoglossum callifolium (Blume) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum cardenasii W.H. Wagner,Elaphoglossum cardenasii Wagner,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum cardiophyllum (Hook.) T.Moore,Elaphoglossum cardiophyllum (Hook.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum dimorphum (Hook. & Grev.) T.Moore,Elaphoglossum dimorphum (Hook. & Grev.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum feei (Bory ex Fee) T.Moore,Elaphoglossum feei (Bory ex Fée) Moore,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum lechlerianum (Mett.) T.Moore,Elaphoglossum lechlerianum (Mett.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum lepervanchii (Bory) T.Moore,Elaphoglossum lepervanchii (Bory ex Fée) Moore,accepted,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum lloense (Hook.) T.Moore,Elaphoglossum lloense (Hook.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum martinicense (Desv.) T.Moore,Elaphoglossum martinicense (Desv.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum nigrescens (Hook.) T.Moore ex Diels,Elaphoglossum nigrescens (Hook.) Moore ex Diels,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum orbignyanum (Fee) T.Moore,Elaphoglossum orbignyanum (Fée) Moore,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum ovatum (Hook. & Grev.) T.Moore,Elaphoglossum ovatum (Hook. & Grev.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum peltatum (Sw.) Urban,Elaphoglossum peltatum (Sw.) Urb.,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum peltatum f. flabellatum (Humb. & Bonpl. ex Willd.) Micke,Elaphoglossum peltatum f. flabellatum (Humb. & Bonpl. ex Willd.) Mickel,accepted,TRUE,1,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum petiolosum (Desv.) T.Moore,Elaphoglossum petiolosum (Desv.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum reptans (Cav.) T.Moore,Elaphoglossum reptans (Cav.) Moore,ambiguous synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum sieberi (Hook. & Grev.) T.Moore,Elaphoglossum sieberi (Hook. & Grev.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum spatulatum (Bory) T.Moore,Elaphoglossum spatulatum (Bory) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum succisifolium (Thouars) T.Moore,Elaphoglossum succisifolium (Thouars) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum tectum (Humb. & Bonpl. ex Willd.) T.Moore,Elaphoglossum tectum (Humb. & Bonpl. ex Willd.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum tovii E.Brown,Elaphoglossum tovii E. D. Br.,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum vestitum (Schltdl. & Cham.) T.Moore,Elaphoglossum vestitum (Schltdl. & Cham.) Schott,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum vieillardii (Mett.) T.Moore,Elaphoglossum vieillardii (Mett.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Equisetum arvense subsp. alpestre (Wahlenb.) Schonswetter & Elven,Equisetum arvense subsp. alpestre (Wahlenb.) Schönsw. & Elven,synonym,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Equisetum trachyodon (A.Braun) W.D.J.Koch,Equisetum trachyodon (A. Braun) Koch,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Gaga angustifolia (Kunth) F.W.Li & Windham,Gaga angustifolia (Kunth) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga apiacea (Mickel) F.W.Li & Windham,Gaga apiacea (Mickel) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga arizonica (Maxon) F.W.Li & Windham,Gaga arizonica (Maxon) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga chaerophylla (M.Martens & Galeotti) F.W.Li & Windham,Gaga chaerophylla (M. Martens & Galeotti) Fay W. Li & Windham,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Gaga complanata (A.R.Sm.) F.W.Li & Windham,Gaga complanata (A. R. Sm.) Fay W. Li & Windham,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Gaga cuneata (Kaulf. ex Link) F.W.Li & Windham,Gaga cuneata (Kaulf. ex Link) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga decurrens (Mickel) F.W.Li & Windham,Gaga decurrens (Mickel) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga germanotta F.W.Li & Windham,Gaga germanotta Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga harrisii (Maxon) F.W.Li & Windham,Gaga harrisii (Maxon) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga hintoniorum (M.G.Mendenh. & G.L.Nesom) F.W.Li & Windham,Gaga hintoniorum (Mendenh. & G. L. Nesom) Fay W. Li & Windham,accepted,TRUE,10,1,0,0,NA,NA,NCBI,author variant,NA
Gaga hirsuta (Link) F.W.Li & Windham,Gaga hirsuta (Link) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga lerstenii (Mickel & Beitel) F.W.Li & Windham,Gaga lerstenii (Mickel & Beitel) Fay W. Li & Windham,synonym,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga marginata (Kunth) F.W.Li & Windham,Gaga marginata (Kunth) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga membranacea (Davenp.) F.W.Li & Windham,Gaga membranacea (Davenp.) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga monstraparva F.W.Li & Windham,Gaga monstraparva Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
