scientificName,taxonomicStatus,namePublishedIn,acceptedNameUsage
Dryopteris continentalis (Petrov) Fomin,synonym,,Gymnocarpium jessoense subsp. parvulum Sarvela
Lastraea glabra var. glabra Brack.,synonym,,Dryopteris glabra (Brack.) Kuntze
"Lindsaea kohkongensis I.C.Hwang, M.O.Moon & B.Y.Sun",accepted,"Korean J. Pl. Taxon. 53(4): 289 2023",
