scientificName,taxonomicStatus,namePublishedIn,acceptedNameUsage
Asplenium guodanum K.W.Xu & W.B.Liao,accepted,PhytoKeys 241: 191-200 https://doi.org/10.3897/phytokeys.241.122789,
Danaea gracilis Tuomisto & Keskiniva,accepted,"Kew Bull 77, 189–210 (2022). https://doi.org/10.1007/s12225-022-10011-w",
Danaea lanceolata Tuomisto & Keskiniva,accepted,"Kew Bull 77, 189–210 (2022). https://doi.org/10.1007/s12225-022-10011-w",
Danaea stricta Tuomisto & Keskiniva,accepted,"Kew Bull 77, 189–210 (2022). https://doi.org/10.1007/s12225-022-10011-w",
Danaea tenuicaulis Tuomisto & Keskiniva,accepted,"Kew Bull 77, 189–210 (2022). https://doi.org/10.1007/s12225-022-10011-w",
Danaea vanderwerffii Tuomisto & Keskiniva,accepted,"Kew Bull 77, 189–210 (2022). https://doi.org/10.1007/s12225-022-10011-w",
Didymochlaena alpina Li Bing Zhang & H.Shang,accepted,"Systematic Botany, 48(1):110-139 (2023). https://doi.org/10.1600/036364423X16758873924144",
Didymochlaena amazonica Li Bing Zhang & H.Shang,accepted,"Systematic Botany, 48(1):110-139 (2023). https://doi.org/10.1600/036364423X16758873924144",
Didymochlaena cameroonensis Li Bing Zhang & H.Shang,accepted,"Systematic Botany, 48(1):110-139 (2023). https://doi.org/10.1600/036364423X16758873924144",
Didymochlaena mesoamericana Li Bing Zhang & H.Shang,accepted,"Systematic Botany, 48(1):110-139 (2023). https://doi.org/10.1600/036364423X16758873924144",
Didymochlaena microphylla (Bonap.) C.Chr.,accepted,"Catalogue des Plantes de Madagascar, Pterid. 30. 1932.",
Didymochlaena truncatula var. microphylla Bonap.,synonym,,Didymochlaena microphylla (Bonap.) C.Chr.
Dryopteris x makabensis Ka.Yamam. & N.Murak.,accepted,Acta Phytotax. Geobot. 75 (1): 1–9  (2024) https://doi.org/10.18942/apg.202314,
Hymenophyllum bradeanum Gonzatti & P.G.Windisch,accepted,Syst. Bot. 48: 180 (2023) ,
"Polystichum sunhangii Liang Zhang, Yong L.Qiu & Li Bing Zhang",accepted,"Phytotaxa 618, 1 (2023) https://doi.org/10.11646/phytotaxa.618.1.2 ",
"Polystichum wusugongii Liang Zhang, X.M.Zhou & Li Bing Zhang",accepted,"Phytotaxa 618, 1 (2023) https://doi.org/10.11646/phytotaxa.618.1.2 ",
"Polystichum xinfeniae Liang Zhang, Yong L.Qiu & Li Bing Zhang",accepted,"Phytotaxa 618, 1 (2023) https://doi.org/10.11646/phytotaxa.618.1.2 ",
Tmesipteris alticola Perrie & Brownsey,accepted,New Zealand Journal of Botany (2023) https://doi.org/10.1080/0028825X.2023.2240737,
